 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,MASK_Result of Tc140mfr305C001H001S005:S0005000002,20,255,0,255,255,255,368.700,6.600,368.700,6.600,39.355,364,1,8,11,7.302,3.487,69.367,0.162,11.180,5100,255,NaN,100,5100,2,364,11,63.435,5.852,2.094,0.478,0.354
2,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,405.900,3.900,405.900,3.900,21.213,403,1,6,5,4.513,2.821,146.034,0.279,6.708,2550,255,NaN,100,2550,2,403,3,153.435,4.243,1.599,0.625,0.500
3,MASK_Result of Tc140mfr305C001H001S005:S0005000002,14,255,0,255,255,255,422.286,4.500,422.286,4.500,22.971,420,1,5,7,5.011,3.557,107.111,0.333,7.211,3570,255,NaN,100,3570,2,421,1,123.690,4.919,1.409,0.710,0.519
4,MASK_Result of Tc140mfr305C001H001S005:S0005000002,11,255,0,255,255,255,548.864,4.500,548.864,4.500,19.799,546,1,5,7,6.608,2.120,60.609,0.353,8.062,2805,255,NaN,100,2805,2,546,8,60.255,3.578,3.117,0.321,0.524
5,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,195.800,4.200,195.800,4.200,26.042,193,2,6,5,3.931,3.239,0.716,0.185,6.403,2550,255,NaN,100,2550,2,194,7,38.660,5.000,1.214,0.824,0.435
6,MASK_Result of Tc140mfr305C001H001S005:S0005000002,47,255,0,255,255,255,258.245,9.862,258.245,9.862,82.953,248,2,17,14,11.034,5.423,31.706,0.086,20.000,11985,255,NaN,100,11985,2,248,15,36.870,11.637,2.035,0.491,0.316
7,MASK_Result of Tc140mfr305C001H001S005:S0005000002,13,255,0,255,255,255,272.808,5.192,272.808,5.192,28.627,270,2,8,6,5.680,2.914,175.547,0.199,8.944,3315,255,NaN,100,3315,2,270,2,153.435,5.909,1.949,0.513,0.426
8,MASK_Result of Tc140mfr305C001H001S005:S0005000002,19,255,0,255,255,255,347.079,7.289,347.079,7.289,30.627,344,2,6,9,7.053,3.430,92.960,0.255,9.849,4845,255,NaN,100,4845,2,346,2,113.962,5.883,2.056,0.486,0.481
9,MASK_Result of Tc140mfr305C001H001S005:S0005000002,20,255,0,255,255,255,354.950,5.750,354.950,5.750,39.355,350,2,11,7,7.403,3.440,10.040,0.162,11.402,5100,255,NaN,100,5100,2,350,8,15.255,6.325,2.152,0.465,0.385
10,MASK_Result of Tc140mfr305C001H001S005:S0005000002,52,255,0,255,255,255,387.596,10.404,387.596,10.404,100.024,376,3,22,15,12.146,5.451,27.399,0.065,22.204,13260,255,NaN,100,13260,2,376,15,7.765,12.333,2.228,0.449,0.277
11,MASK_Result of Tc140mfr305C001H001S005:S0005000002,21,255,0,255,255,255,442.214,7.833,442.214,7.833,45.355,438,3,8,10,5.713,4.680,42.649,0.128,10.440,5355,255,NaN,100,5355,2,443,13,73.301,8.000,1.221,0.819,0.362
12,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,661.300,6.500,661.300,6.500,21.556,659,3,4,6,5.088,2.502,106.003,0.270,6.708,2550,255,NaN,100,2550,2,660,3,116.565,3.638,2.033,0.492,0.526
13,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,200.400,7.000,200.400,7.000,21.799,198,4,4,6,4.868,2.615,77.668,0.264,6.403,2550,255,NaN,100,2550,2,198,9,51.340,4.000,1.861,0.537,0.541
14,MASK_Result of Tc140mfr305C001H001S005:S0005000002,17,255,0,255,255,255,292.618,8.324,292.618,8.324,30.042,289,4,6,8,5.911,3.662,113.350,0.237,8.944,4335,255,NaN,100,4335,2,291,4,116.565,5.270,1.614,0.619,0.507
15,MASK_Result of Tc140mfr305C001H001S005:S0005000002,30,255,0,255,255,255,454.533,8.600,454.533,8.600,63.983,450,4,10,10,8.521,4.483,52.154,0.092,12.806,7650,255,NaN,100,7650,2,450,13,38.660,8.232,1.901,0.526,0.408
16,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,525.200,6.000,525.200,6.000,16.142,522,4,6,4,4.787,2.660,158.260,0.482,6.083,2550,255,NaN,100,2550,2,522,5,170.538,3.795,1.800,0.556,0.571
17,MASK_Result of Tc140mfr305C001H001S005:S0005000002,58,255,0,255,255,255,466.207,10.948,466.207,10.948,102.610,457,5,19,11,12.199,6.054,0.020,0.069,19.105,14790,255,NaN,100,14790,2,457,12,173.991,10.771,2.015,0.496,0.374
18,MASK_Result of Tc140mfr305C001H001S005:S0005000002,13,255,0,255,255,255,541.654,9.346,541.654,9.346,28.042,540,5,5,8,5.344,3.097,94.695,0.208,8.246,3315,255,NaN,100,3315,2,540,13,75.964,5.000,1.725,0.580,0.448
19,MASK_Result of Tc140mfr305C001H001S005:S0005000002,14,255,0,255,255,255,507.143,11.714,507.143,11.714,30.870,504,8,6,7,5.495,3.244,121.112,0.185,9.220,3570,255,NaN,100,3570,2,504,8,130.601,5.578,1.694,0.590,0.424
20,MASK_Result of Tc140mfr305C001H001S005:S0005000002,13,255,0,255,255,255,303.654,12.346,303.654,12.346,20.971,300,9,7,6,4.825,3.430,154.694,0.371,7.616,3315,255,NaN,100,3315,2,300,12,156.801,5.336,1.407,0.711,0.510
21,MASK_Result of Tc140mfr305C001H001S005:S0005000002,16,255,0,255,255,255,486.000,14.312,486.000,14.312,33.456,483,9,6,9,7.023,2.901,67.746,0.180,10.296,4080,255,NaN,100,4080,2,483,18,60.945,5.590,2.421,0.413,0.372
22,MASK_Result of Tc140mfr305C001H001S005:S0005000002,18,255,0,255,255,255,428.389,13.111,428.389,13.111,23.799,425,10,7,7,7.702,2.976,126.592,0.399,9.220,4590,255,NaN,100,4590,2,425,10,130.601,4.116,2.589,0.386,0.600
23,MASK_Result of Tc140mfr305C001H001S005:S0005000002,20,255,0,255,255,255,336.650,14.350,336.650,14.350,26.385,333,11,8,7,5.607,4.541,131.060,0.361,8.944,5100,255,NaN,100,5100,2,333,11,153.435,7.000,1.235,0.810,0.494
24,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,359.200,15.200,359.200,15.200,23.799,357,11,4,8,5.676,2.243,78.152,0.222,8.246,2550,255,NaN,100,2550,2,358,19,75.964,4.000,2.530,0.395,0.417
25,MASK_Result of Tc140mfr305C001H001S005:S0005000002,16,255,0,255,255,255,494.938,15.312,494.938,15.312,33.698,490,11,10,8,8.667,2.351,139.402,0.177,12.207,4080,255,NaN,100,4080,2,490,11,145.008,4.225,3.687,0.271,0.405
26,MASK_Result of Tc140mfr305C001H001S005:S0005000002,11,255,0,255,255,255,440.409,16.773,440.409,16.773,25.213,439,12,3,9,6.521,2.148,93.970,0.217,9.055,2805,255,NaN,100,2805,2,439,12,96.340,3.000,3.036,0.329,0.478
27,MASK_Result of Tc140mfr305C001H001S005:S0005000002,19,255,0,255,255,255,310.289,17.026,310.289,17.026,32.870,306,13,8,8,7.080,3.417,52.221,0.221,9.434,4845,255,NaN,100,4845,2,306,19,32.005,5.657,2.072,0.483,0.494
28,MASK_Result of Tc140mfr305C001H001S005:S0005000002,12,255,0,255,255,255,366.917,16.583,366.917,16.583,26.627,365,13,4,8,5.840,2.616,93.780,0.213,8.246,3060,255,NaN,100,3060,2,366,13,104.036,4.000,2.232,0.448,0.421
29,MASK_Result of Tc140mfr305C001H001S005:S0005000002,12,255,0,255,255,255,268.583,16.333,268.583,16.333,25.213,266,14,7,4,5.200,2.939,179.694,0.237,7.616,3060,255,NaN,100,3060,2,266,14,156.801,4.000,1.769,0.565,0.511
30,MASK_Result of Tc140mfr305C001H001S005:S0005000002,12,255,0,255,255,255,346.500,17.167,346.500,17.167,20.142,344,14,4,6,5.587,2.735,78.643,0.372,6.708,3060,255,NaN,100,3060,2,345,20,63.435,4.000,2.043,0.490,0.600
31,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,264.700,27.000,264.700,27.000,18.142,263,24,4,6,4.517,2.819,125.355,0.382,6.708,2550,255,NaN,100,2550,2,263,24,116.565,4.000,1.602,0.624,0.556
32,MASK_Result of Tc140mfr305C001H001S005:S0005000002,13,255,0,255,255,255,523.192,30.038,523.192,30.038,30.627,521,26,6,7,4.589,3.607,131.171,0.174,8.062,3315,255,NaN,100,3315,2,521,26,119.745,6.000,1.272,0.786,0.413
33,MASK_Result of Tc140mfr305C001H001S005:S0005000002,22,255,0,255,255,255,207.273,30.045,207.273,30.045,46.184,201,27,13,6,9.214,3.040,9.676,0.130,13.601,5610,255,NaN,100,5610,2,201,33,17.103,5.672,3.031,0.330,0.361
34,MASK_Result of Tc140mfr305C001H001S005:S0005000002,14,255,0,255,255,255,636.571,38.500,636.571,38.500,35.941,633,33,7,11,8.779,2.031,63.089,0.136,12.207,3570,255,NaN,100,3570,2,633,43,55.008,3.578,4.323,0.231,0.373
35,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,457.100,36.500,457.100,36.500,21.213,454,34,5,5,4.022,3.165,43.569,0.279,5.831,2550,255,NaN,100,2550,2,454,37,30.964,4.438,1.271,0.787,0.526
36,MASK_Result of Tc140mfr305C001H001S005:S0005000002,16,255,0,255,255,255,762.312,38.812,762.312,38.812,30.870,759,35,6,8,6.641,3.068,120.339,0.211,9.434,4080,255,NaN,100,4080,2,760,35,122.005,4.950,2.165,0.462,0.471
37,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,658.900,40.100,658.900,40.100,20.971,655,38,7,4,5.143,2.476,167.492,0.286,7.280,2550,255,NaN,100,2550,2,655,39,164.055,4.000,2.077,0.481,0.488
38,MASK_Result of Tc140mfr305C001H001S005:S0005000002,21,255,0,255,255,255,588.214,42.976,588.214,42.976,38.870,582,39,14,6,9.532,2.805,162.246,0.175,14.142,5355,255,NaN,100,5355,2,582,43,171.870,5.687,3.398,0.294,0.412
39,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,727.700,41.300,727.700,41.300,16.971,725,39,5,5,4.177,3.048,51.132,0.436,5.831,2550,255,NaN,100,2550,2,725,42,30.964,4.608,1.370,0.730,0.556
40,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,326.700,43.700,326.700,43.700,21.213,323,41,7,5,5.945,2.142,31.325,0.279,8.062,2550,255,NaN,100,2550,2,323,46,29.745,3.536,2.776,0.360,0.488
41,MASK_Result of Tc140mfr305C001H001S005:S0005000002,36,255,0,255,255,255,424.556,51.194,424.556,51.194,75.397,417,43,13,14,9.237,4.962,48.220,0.080,15.620,9180,255,NaN,100,9180,2,417,53,39.806,10.202,1.861,0.537,0.344
42,MASK_Result of Tc140mfr305C001H001S005:S0005000002,11,255,0,255,255,255,651.045,47.318,651.045,47.318,18.142,648,45,6,5,6.288,2.227,155.955,0.420,7.211,2805,255,NaN,100,2805,2,648,46,146.310,3.528,2.823,0.354,0.537
43,MASK_Result of Tc140mfr305C001H001S005:S0005000002,15,255,0,255,255,255,681.900,48.433,681.900,48.433,29.213,677,47,10,3,8.605,2.220,178.210,0.221,10.198,3825,255,NaN,100,3825,2,677,47,168.690,3.000,3.877,0.258,0.517
44,MASK_Result of Tc140mfr305C001H001S005:S0005000002,23,255,0,255,255,255,385.109,52.065,385.109,52.065,60.326,378,48,15,9,7.865,3.723,10.463,0.079,15.811,5865,255,NaN,100,5865,2,378,57,18.435,7.603,2.112,0.473,0.251
45,MASK_Result of Tc140mfr305C001H001S005:S0005000002,11,255,0,255,255,255,458.773,50.409,458.773,50.409,21.799,455,48,7,5,6.612,2.118,22.570,0.291,8.062,2805,255,NaN,100,2805,2,455,52,29.745,3.343,3.122,0.320,0.489
46,MASK_Result of Tc140mfr305C001H001S005:S0005000002,15,255,0,255,255,255,396.633,52.233,396.633,52.233,28.870,393,49,7,7,5.442,3.509,47.037,0.226,8.062,3825,255,NaN,100,3825,2,394,56,60.255,6.102,1.551,0.645,0.429
47,MASK_Result of Tc140mfr305C001H001S005:S0005000002,19,255,0,255,255,255,438.395,52.553,438.395,52.553,30.284,434,49,9,6,7.460,3.243,153.894,0.260,9.849,4845,255,NaN,100,4845,2,434,51,156.038,4.919,2.301,0.435,0.514
48,MASK_Result of Tc140mfr305C001H001S005:S0005000002,12,255,0,255,255,255,403.083,53.250,403.083,53.250,20.971,401,50,5,7,6.294,2.427,71.105,0.343,7.616,3060,255,NaN,100,3060,2,402,57,66.801,4.025,2.593,0.386,0.500
49,MASK_Result of Tc140mfr305C001H001S005:S0005000002,12,255,0,255,255,255,571.833,53.833,571.833,53.833,29.456,568,51,7,6,4.613,3.312,142.854,0.174,7.211,3060,255,NaN,100,3060,2,570,51,123.690,5.270,1.393,0.718,0.400
50,MASK_Result of Tc140mfr305C001H001S005:S0005000002,12,255,0,255,255,255,633.750,57.083,633.750,57.083,21.799,631,53,5,7,6.192,2.468,63.456,0.317,8.062,3060,255,NaN,100,3060,2,632,60,60.255,4.243,2.509,0.399,0.533
51,MASK_Result of Tc140mfr305C001H001S005:S0005000002,13,255,0,255,255,255,760.577,56.885,760.577,56.885,29.456,756,55,10,4,7.187,2.303,7.873,0.188,10.440,3315,255,NaN,100,3315,2,756,59,16.699,4.000,3.120,0.320,0.413
52,MASK_Result of Tc140mfr305C001H001S005:S0005000002,14,255,0,255,255,255,345.143,64.714,345.143,64.714,30.627,342,61,6,8,5.802,3.072,67.955,0.188,8.944,3570,255,NaN,100,3570,2,344,69,63.435,5.295,1.889,0.529,0.406
53,MASK_Result of Tc140mfr305C001H001S005:S0005000002,14,255,0,255,255,255,734.929,63.929,734.929,63.929,27.213,732,61,7,7,6.464,2.758,43.295,0.238,8.602,3570,255,NaN,100,3570,2,733,68,54.462,4.950,2.344,0.427,0.438
54,MASK_Result of Tc140mfr305C001H001S005:S0005000002,11,255,0,255,255,255,564.864,63.318,564.864,63.318,20.971,561,62,8,4,6.707,2.088,18.374,0.314,8.246,2805,255,NaN,100,2805,2,561,64,14.036,3.479,3.212,0.311,0.537
55,MASK_Result of Tc140mfr305C001H001S005:S0005000002,11,255,0,255,255,255,13.955,65.500,13.955,65.500,14.728,12,63,4,5,5.358,2.614,133.179,0.637,6.403,2805,255,NaN,100,2805,2,12,63,128.660,3.536,2.050,0.488,0.710
56,MASK_Result of Tc140mfr305C001H001S005:S0005000002,78,255,0,255,255,255,551.077,69.846,551.077,69.846,134.309,539,64,24,12,16.499,6.019,4.166,0.054,24.021,19890,255,NaN,100,19890,2,539,70,177.614,11.294,2.741,0.365,0.341
57,MASK_Result of Tc140mfr305C001H001S005:S0005000002,12,255,0,255,255,255,605.750,65.667,605.750,65.667,23.556,602,64,8,4,5.659,2.700,11.724,0.272,8.246,3060,255,NaN,100,3060,2,602,66,14.036,4.000,2.096,0.477,0.522
58,MASK_Result of Tc140mfr305C001H001S005:S0005000002,12,255,0,255,255,255,614.667,66.667,614.667,66.667,19.556,612,64,6,5,5.179,2.950,152.348,0.394,6.403,3060,255,NaN,100,3060,2,613,64,141.340,3.883,1.756,0.570,0.600
59,MASK_Result of Tc140mfr305C001H001S005:S0005000002,11,255,0,255,255,255,654.227,67.318,654.227,67.318,25.213,651,64,6,6,5.645,2.481,144.386,0.217,7.810,2805,255,NaN,100,2805,2,652,64,129.806,4.000,2.275,0.440,0.468
60,MASK_Result of Tc140mfr305C001H001S005:S0005000002,17,255,0,255,255,255,680.618,67.500,680.618,67.500,32.284,676,64,9,7,8.060,2.685,138.803,0.205,10.817,4335,255,NaN,100,4335,2,676,64,146.310,4.950,3.002,0.333,0.430
61,MASK_Result of Tc140mfr305C001H001S005:S0005000002,30,255,0,255,255,255,632.467,70.533,632.467,70.533,62.669,628,65,10,12,8.629,4.426,139.398,0.096,15.620,7650,255,NaN,100,7650,2,628,65,129.806,9.261,1.949,0.513,0.333
62,MASK_Result of Tc140mfr305C001H001S005:S0005000002,14,255,0,255,255,255,85.286,67.857,85.286,67.857,24.627,81,66,8,5,5.704,3.125,174.402,0.290,8.246,3570,255,NaN,100,3570,2,81,69,14.036,5.000,1.825,0.548,0.459
63,MASK_Result of Tc140mfr305C001H001S005:S0005000002,21,255,0,255,255,255,187.452,70.405,187.452,70.405,41.355,182,66,9,9,7.047,3.794,140.418,0.154,12.728,5355,255,NaN,100,5355,2,182,66,135.000,7.778,1.857,0.538,0.356
64,MASK_Result of Tc140mfr305C001H001S005:S0005000002,14,255,0,255,255,255,214.929,69.214,214.929,69.214,24.385,210,66,9,6,7.839,2.274,143.882,0.296,10.296,3570,255,NaN,100,3570,2,210,66,150.945,4.116,3.447,0.290,0.475
65,MASK_Result of Tc140mfr305C001H001S005:S0005000002,12,255,0,255,255,255,228.500,69.167,228.500,69.167,26.627,224,66,9,6,5.992,2.550,27.902,0.213,9.849,3060,255,NaN,100,3060,2,224,70,23.962,4.642,2.350,0.426,0.407
66,MASK_Result of Tc140mfr305C001H001S005:S0005000002,16,255,0,255,255,255,236.250,72.250,236.250,72.250,32.284,234,66,4,12,9.068,2.246,84.227,0.193,12.649,4080,255,NaN,100,4080,2,234,78,71.565,3.845,4.037,0.248,0.438
67,MASK_Result of Tc140mfr305C001H001S005:S0005000002,14,255,0,255,255,255,247.000,71.071,247.000,71.071,32.042,244,66,7,9,5.076,3.512,108.466,0.171,9.849,3570,255,NaN,100,3570,2,247,66,113.962,6.203,1.446,0.692,0.364
68,MASK_Result of Tc140mfr305C001H001S005:S0005000002,11,255,0,255,255,255,565.682,69.500,565.682,69.500,20.971,564,66,4,7,6.208,2.256,61.236,0.314,8.062,2805,255,NaN,100,2805,2,564,73,60.255,3.479,2.752,0.363,0.564
69,MASK_Result of Tc140mfr305C001H001S005:S0005000002,25,255,0,255,255,255,281.820,73.180,281.820,73.180,44.770,280,67,5,14,10.031,3.173,84.982,0.157,14.318,6375,255,NaN,100,6375,2,281,81,77.905,5.000,3.161,0.316,0.463
70,MASK_Result of Tc140mfr305C001H001S005:S0005000002,25,255,0,255,255,255,600.220,70.340,600.220,70.340,45.598,594,67,13,6,9.210,3.456,175.255,0.151,13.601,6375,255,NaN,100,6375,2,594,67,162.897,6.000,2.665,0.375,0.403
71,MASK_Result of Tc140mfr305C001H001S005:S0005000002,23,255,0,255,255,255,670.239,71.761,670.239,71.761,52.669,666,67,9,11,5.820,5.031,100.855,0.104,12.083,5865,255,NaN,100,5865,2,666,67,114.444,8.731,1.157,0.864,0.331
72,MASK_Result of Tc140mfr305C001H001S005:S0005000002,13,255,0,255,255,255,73.269,70.808,73.269,70.808,28.385,70,68,8,7,6.387,2.592,42.973,0.203,10.630,3315,255,NaN,100,3315,2,70,75,41.186,4.950,2.464,0.406,0.400
73,MASK_Result of Tc140mfr305C001H001S005:S0005000002,20,255,0,255,255,255,169.050,72.950,169.050,72.950,40.770,166,68,6,11,7.427,3.429,67.180,0.151,12.083,5100,255,NaN,100,5100,2,166,79,65.556,6.000,2.166,0.462,0.408
74,MASK_Result of Tc140mfr305C001H001S005:S0005000002,12,255,0,255,255,255,433.333,70.417,433.333,70.417,27.213,429,68,8,5,5.616,2.721,171.852,0.204,8.246,3060,255,NaN,100,3060,2,429,71,165.964,4.384,2.064,0.484,0.407
75,MASK_Result of Tc140mfr305C001H001S005:S0005000002,17,255,0,255,255,255,474.206,72.559,474.206,72.559,37.355,471,68,6,9,6.692,3.234,72.832,0.153,9.849,4335,255,NaN,100,4335,2,472,77,66.038,5.491,2.069,0.483,0.425
76,MASK_Result of Tc140mfr305C001H001S005:S0005000002,15,255,0,255,255,255,494.833,71.567,494.833,71.567,28.627,492,68,5,8,6.156,3.103,101.636,0.230,8.544,3825,255,NaN,100,3825,2,493,68,110.556,5.000,1.984,0.504,0.469
77,MASK_Result of Tc140mfr305C001H001S005:S0005000002,20,255,0,255,255,255,529.500,71.300,529.500,71.300,27.456,524,68,9,6,6.411,3.972,6.284,0.333,9.487,5100,255,NaN,100,5100,2,524,74,18.435,6.000,1.614,0.620,0.519
78,MASK_Result of Tc140mfr305C001H001S005:S0005000002,31,255,0,255,255,255,661.145,73.403,661.145,73.403,49.255,657,68,10,10,7.053,5.596,117.311,0.161,10.817,7905,255,NaN,100,7905,2,658,69,146.310,8.902,1.260,0.793,0.428
79,MASK_Result of Tc140mfr305C001H001S005:S0005000002,13,255,0,255,255,255,255.577,71.500,255.577,71.500,21.556,252,69,6,5,5.273,3.139,4.225,0.352,6.708,3315,255,NaN,100,3315,2,252,71,153.435,4.903,1.680,0.595,0.565
80,MASK_Result of Tc140mfr305C001H001S005:S0005000002,16,255,0,255,255,255,520.125,73.562,520.125,73.562,33.113,517,69,6,8,5.957,3.420,99.076,0.183,8.246,4080,255,NaN,100,4080,2,519,69,104.036,6.000,1.742,0.574,0.444
81,MASK_Result of Tc140mfr305C001H001S005:S0005000002,13,255,0,255,255,255,729.269,72.192,729.269,72.192,23.799,726,69,7,6,5.450,3.037,50.109,0.288,8.062,3315,255,NaN,100,3315,2,726,75,29.745,4.800,1.794,0.557,0.491
82,MASK_Result of Tc140mfr305C001H001S005:S0005000002,14,255,0,255,255,255,273.286,73.571,273.286,73.571,25.456,269,70,8,8,8.327,2.141,129.605,0.271,11.314,3570,255,NaN,100,3570,2,269,70,135.000,3.796,3.890,0.257,0.467
83,MASK_Result of Tc140mfr305C001H001S005:S0005000002,17,255,0,255,255,255,611.912,72.735,611.912,72.735,30.870,608,70,8,6,6.138,3.526,139.538,0.224,8.944,4335,255,NaN,100,4335,2,608,70,153.435,5.657,1.741,0.575,0.493
84,MASK_Result of Tc140mfr305C001H001S005:S0005000002,23,255,0,255,255,255,706.543,74.022,706.543,74.022,37.113,701,70,10,8,6.859,4.269,0.770,0.210,10.440,5865,255,NaN,100,5865,2,701,73,163.301,7.778,1.607,0.622,0.387
85,MASK_Result of Tc140mfr305C001H001S005:S0005000002,12,255,0,255,255,255,443.000,74.417,443.000,74.417,25.456,440,71,6,7,6.086,2.511,44.953,0.233,8.602,3060,255,NaN,100,3060,2,441,78,54.462,4.243,2.424,0.413,0.444
86,MASK_Result of Tc140mfr305C001H001S005:S0005000002,11,255,0,255,255,255,569.864,73.136,569.864,73.136,22.385,567,71,7,4,5.588,2.506,9.558,0.276,7.616,2805,255,NaN,100,2805,2,567,75,23.199,3.638,2.230,0.449,0.512
87,MASK_Result of Tc140mfr305C001H001S005:S0005000002,15,255,0,255,255,255,651.367,73.700,651.367,73.700,27.213,648,71,7,6,5.155,3.705,22.389,0.255,8.062,3825,255,NaN,100,3825,2,648,76,29.745,5.814,1.391,0.719,0.484
88,MASK_Result of Tc140mfr305C001H001S005:S0005000002,11,255,0,255,255,255,678.955,74.591,678.955,74.591,22.385,677,71,4,7,6.116,2.290,66.179,0.276,7.616,2805,255,NaN,100,2805,2,677,78,66.801,3.883,2.671,0.374,0.512
89,MASK_Result of Tc140mfr305C001H001S005:S0005000002,24,255,0,255,255,255,716.958,74.375,716.958,74.375,41.941,712,71,10,9,8.416,3.631,141.600,0.171,12.042,6120,255,NaN,100,6120,2,712,71,131.634,6.364,2.318,0.431,0.444
90,MASK_Result of Tc140mfr305C001H001S005:S0005000002,26,255,0,255,255,255,739.346,75.231,739.346,75.231,58.912,735,71,9,10,6.554,5.051,104.789,0.094,11.662,6630,255,NaN,100,6630,2,735,71,120.964,9.000,1.298,0.771,0.385
91,MASK_Result of Tc140mfr305C001H001S005:S0005000002,52,255,0,255,255,255,465.404,83.481,465.404,83.481,73.740,457,72,14,19,12.966,5.106,62.292,0.120,20.591,13260,255,NaN,100,13260,2,457,90,60.945,10.286,2.539,0.394,0.327
92,MASK_Result of Tc140mfr305C001H001S005:S0005000002,17,255,0,255,255,255,596.029,75.912,596.029,75.912,33.456,592,73,9,6,7.321,2.957,17.483,0.191,10.000,4335,255,NaN,100,4335,2,593,79,36.870,4.743,2.476,0.404,0.442
93,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,370.700,77.000,370.700,77.000,19.556,369,74,4,6,4.841,2.630,90.000,0.329,6.325,2550,255,NaN,100,2550,2,370,74,108.435,4.000,1.840,0.543,0.500
94,MASK_Result of Tc140mfr305C001H001S005:S0005000002,84,255,0,255,255,255,568.690,88.560,568.690,88.560,167.179,558,74,19,29,14.456,7.399,81.349,0.038,29.614,21420,255,NaN,100,21420,2,570,103,78.311,17.147,1.954,0.512,0.256
95,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,200.200,78.900,200.200,78.900,25.456,197,75,6,8,7.031,1.811,62.033,0.194,10.000,2550,255,NaN,100,2550,2,197,83,53.130,3.414,3.883,0.258,0.385
96,MASK_Result of Tc140mfr305C001H001S005:S0005000002,66,255,0,255,255,255,581.439,90.333,581.439,90.333,134.652,575,75,13,31,15.927,5.276,91.789,0.046,31.145,16830,255,NaN,100,16830,2,578,75,95.528,12.824,3.019,0.331,0.245
97,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,759.000,77.400,759.000,77.400,20.142,756,75,5,6,5.301,2.402,123.706,0.310,7.211,2550,255,NaN,100,2550,2,757,75,123.690,4.243,2.207,0.453,0.513
98,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,444.500,79.100,444.500,79.100,24.627,442,76,6,7,5.220,2.439,49.780,0.207,7.616,2550,255,NaN,100,2550,2,443,83,66.801,4.243,2.140,0.467,0.370
99,MASK_Result of Tc140mfr305C001H001S005:S0005000002,11,255,0,255,255,255,117.136,80.318,117.136,80.318,21.799,114,77,7,6,6.632,2.112,147.191,0.291,8.602,2805,255,NaN,100,2805,2,114,77,144.462,3.883,3.141,0.318,0.449
100,MASK_Result of Tc140mfr305C001H001S005:S0005000002,12,255,0,255,255,255,359.000,80.250,359.000,80.250,26.627,356,77,7,8,6.092,2.508,56.372,0.213,10.000,3060,255,NaN,100,3060,2,357,85,53.130,4.715,2.429,0.412,0.375
101,MASK_Result of Tc140mfr305C001H001S005:S0005000002,12,255,0,255,255,255,549.917,79.750,549.917,79.750,21.799,547,77,6,6,5.962,2.563,34.054,0.317,7.810,3060,255,NaN,100,3060,2,547,83,50.194,3.944,2.326,0.430,0.511
102,MASK_Result of Tc140mfr305C001H001S005:S0005000002,47,255,0,255,255,255,610.840,85.287,610.840,85.287,93.296,604,77,12,16,8.932,6.700,69.333,0.068,18.358,11985,255,NaN,100,11985,2,606,93,60.642,12.000,1.333,0.750,0.312
103,MASK_Result of Tc140mfr305C001H001S005:S0005000002,16,255,0,255,255,255,259.062,82.375,259.062,82.375,32.284,256,78,5,10,7.607,2.678,99.134,0.193,10.770,4080,255,NaN,100,4080,2,256,78,111.801,4.851,2.841,0.352,0.438
104,MASK_Result of Tc140mfr305C001H001S005:S0005000002,12,255,0,255,255,255,297.000,81.000,297.000,81.000,25.556,293,78,9,5,6.639,2.301,147.051,0.231,10.296,3060,255,NaN,100,3060,2,293,78,150.945,4.715,2.885,0.347,0.414
105,MASK_Result of Tc140mfr305C001H001S005:S0005000002,11,255,0,255,255,255,409.955,82.227,409.955,82.227,23.799,408,78,4,9,6.888,2.033,99.919,0.244,9.220,2805,255,NaN,100,2805,2,408,78,102.529,3.349,3.387,0.295,0.458
106,MASK_Result of Tc140mfr305C001H001S005:S0005000002,13,255,0,255,255,255,495.423,82.038,495.423,82.038,29.698,492,79,7,7,5.370,3.082,130.835,0.185,8.602,3315,255,NaN,100,3315,2,493,79,125.538,5.488,1.742,0.574,0.394
